ID,STRAIN,PROCEDURE_ID,SEQUENCE_ID,STATUS_CODE,IS_MISSING
333,E_Rnf5,IMPC_EVP_001,0,,0
334,E_Dtx4,IMPC_EVP_001,0,,0
335,E_Dtx4,IMPC_EVO_001,0,,0
336,Pstpip1-CRISPR,IMPC_FER_001,0,,0
337,Fbxw20,IMPC_FER_001,0,,0
338,nc13D21Rik,IMPC_FER_001,0,,0
339,Kbtbd3,IMPC_FER_001,0,,0
340,Fam221a,IMPC_FER_001,0,,0
341,Rnf208,IMPC_FER_001,0,,0
342,Apbb1ip,IMPC_FER_001,0,,0
343,Aim2,IMPC_FER_001,0,,0
344,Tnfr60,IMPC_FER_001,0,,0
345,Fbxw15,IMPC_FER_001,0,,0
346,Spink13,IMPC_FER_001,0,,0
347,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x March6",IMPC_VIA_002,0,,0
348,Fam96b,IMPC_VIA_002,0,,0
349,Krt33a,IMPC_VIA_002,0,,0
350,Krt33b,IMPC_VIA_002,0,,0
351,Zc3h8,IMPC_VIA_002,0,,0
352,GABRA5,IMPC_VIA_002,0,,0
353,Ube2n,IMPC_VIA_002,0,,0
354,Rnf148,IMPC_VIA_002,0,,0
355,E_Smim26,IMPC_EVM_001,0,,0
356,E_Ube2n,IMPC_EVL_001,0,,0
357,E_Smim26,IMPC_EVL_001,0,,0
358,E_Ddb1,IMPC_EVL_001,0,,0
359,E_Ube2n,IMPC_EVM_001,0,,0
360,E_Ddb1,IMPC_EVM_001,0,,0
757,0610009O20Rik (del),IMPC_VIA_002,0,,0
758,1700026D08Rik (indel),IMPC_VIA_002,0,,0
759,1810011H11Rik(indel),IMPC_VIA_002,0,,0
760,"2010111l01Rik x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
761,2510009E07Rik (indel),IMPC_VIA_002,0,,0
762,2900011O08Rik (indel),IMPC_VIA_002,0,,0
763,3425401B19Rik (indel),IMPC_VIA_002,0,,0
764,Asb4(indel),IMPC_VIA_002,0,,0
765,Cluh (del),IMPC_VIA_002,0,,0
766,"Cul4a x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
767,Cyp39a1(exdel),IMPC_VIA_002,0,,0
768,Dcaf12 (exdel),IMPC_VIA_002,0,,0
769,Dcaf8 (exdel),IMPC_VIA_002,0,,0
770,Fam126a(del),IMPC_VIA_002,0,,0
771,Fam134a (del),IMPC_VIA_002,0,,0
772,Fam172aF1 (indel),IMPC_VIA_002,0,,0
773,Fam208a(del),IMPC_VIA_002,0,,0
774,Fam46a (indel),IMPC_VIA_002,0,,0
804,Fam83h(exdel),IMPC_VIA_002,0,,0
805,Fam84b-indel,IMPC_VIA_002,0,,0
806,Gpr109 (indel),IMPC_VIA_002,0,,0
807,Gpr81 (indel),IMPC_VIA_002,0,,0
808,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Btbd3",IMPC_VIA_002,0,,0
809,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)Ics x Eci 2",IMPC_VIA_002,0,,0
814,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Abcg8",IMPC_VIA_002,0,,0
815,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Ddi2",IMPC_VIA_002,0,,0
816,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Klhl5",IMPC_VIA_002,0,,0
856,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Nub1",IMPC_VIA_002,0,,0
857,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Papd7",IMPC_VIA_002,0,,0
858,"Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs x Ubd",IMPC_VIA_002,0,,0
859,Insig1(exdel),IMPC_VIA_002,0,,0
860,Kbtbd11,IMPC_VIA_002,0,,0
861,Klk12 (exdel),IMPC_VIA_002,0,,0
862,Klk13(exdel),IMPC_VIA_002,0,,0
863,Klk8 (exdel),IMPC_VIA_002,0,,0
864,Lamtor4(del),IMPC_VIA_002,0,,0
865,March8 (indel),IMPC_VIA_002,0,,0
866,"Mex3b x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
867,Mzb1 (indel),IMPC_VIA_002,0,,0
868,Naa38 (exdel),IMPC_VIA_002,0,,0
869,Nsmce1,IMPC_VIA_002,0,,0
870,Nwd2(exdel),IMPC_VIA_002,0,,0
871,Pknox2(del),IMPC_VIA_002,0,,0
872,RC1,IMPC_VIA_002,0,,0
873,RC2,IMPC_VIA_002,0,,0
874,RC3,IMPC_VIA_002,0,,0
875,RC4,IMPC_VIA_002,0,,0
877,rKlk10,IMPC_VIA_002,0,,0
878,Rnft1,IMPC_VIA_002,0,,0
879,Sbspon (indel),IMPC_VIA_002,0,,0
880,Spink6 (indel),IMPC_VIA_002,0,,0
897,Strip2 (exdel),IMPC_VIA_002,0,,0
898,Tmem 55b (indel),IMPC_VIA_002,0,,0
899,Tmem132b (del),IMPC_VIA_002,0,,0
900,Tmem150b (del),IMPC_VIA_002,0,,0
901,"Tmem237 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
902,Tmem240 (exdel),IMPC_VIA_002,0,,0
904,Tmem60 (indel),IMPC_VIA_002,0,,0
905,Tmem62(del),IMPC_VIA_002,0,,0
906,Trabd2 (indel),IMPC_VIA_002,0,,0
907,Trim15tm1b,IMPC_VIA_002,0,,0
908,Trim9 (indel),IMPC_VIA_002,0,,0
909,Uchl4-indel,IMPC_VIA_002,0,,0
910,Wiz(indel),IMPC_VIA_002,0,,0
911,Tmem47-indel,IMPC_VIA_002,0,,0
912,"Rnf128 x Gt(ROSA)26Sor(ACTB-Cre,-EGFP)lcs",IMPC_VIA_002,0,,0
913,Rhobtb1,IMPC_VIA_002,0,,0
914,Rffl,IMPC_VIA_002,0,,0
915,Fam160b2,IMPC_VIA_002,0,,0
916,Rhag,IMPC_VIA_002,0,,0
917,Prss47,IMPC_VIA_002,0,,0
918,Pdgfd,IMPC_VIA_002,0,,0
919,Lhx5,IMPC_VIA_002,0,,0
920,Fbxw20,IMPC_VIA_002,0,,0
921,Fbxw16,IMPC_VIA_002,0,,0
922,Hepacam2,IMPC_VIA_002,0,,0
923,Sox14,IMPC_FER_001,0,,0
924,Fam53a,IMPC_FER_001,0,,0
925,Amelx,IMPC_FER_001,0,,0
926,Fam129a,IMPC_FER_001,0,,0
927,Nfam1,IMPC_FER_001,0,,0
928,Prss57,IMPC_FER_001,0,,0
929,Fam83d,IMPC_FER_001,0,,0
930,Fam71d,IMPC_FER_001,0,,0
931,Fgf20,IMPC_FER_001,0,,0
932,Oas1c,IMPC_FER_001,0,,0
933,Mfng,IMPC_FER_001,0,,0
934,Zc2HC1c,IMPC_FER_001,0,,0
935,Fam219a,IMPC_FER_001,0,,0
936,Prss35,IMPC_FER_001,0,,0
937,Fam185a,IMPC_FER_001,0,,0
938,Prss55,IMPC_FER_001,0,,0
939,Krt72,IMPC_FER_001,0,,0
941,Fbxo25,IMPC_VIA_002,0,,0
